ticker,horizon_s,model,r2_os_pooled,r2_os_fold_mean,r2_os_fold_min,r2_os_fold_max,pred_target_corr,frac_pred_gt_half_spread,n_bins,median_spread_bps
MSFT,1,full,0.023251570374319908,0.021500769006793694,-0.03789400264787912,0.040372009183057056,0.17098947454653213,0.0,22740,3.2792261026391243
MSFT,1,ofi_only,-0.0015949963690613522,-0.0007800899813782806,-0.005862887770384129,0.0037990730192634103,0.026665780810033637,0.0,22740,3.2792261026391243
MSFT,2,full,0.03384668530379065,0.03227025881749574,-0.06968630928914354,0.05682723285606783,0.20907083910079657,9.59462700887503e-05,22740,3.2792261026391243
MSFT,2,ofi_only,-0.0018301960363029668,-0.0005881719405969245,-0.011704081181978854,0.006878056443983538,0.027767759221513033,0.0,22740,3.2792261026391243
MSFT,5,full,0.040681549624525526,0.03923029365458033,-0.16223864598269833,0.10854065682915848,0.24387844536389114,0.004893259774526266,22740,3.2792261026391243
MSFT,5,ofi_only,-0.0025655099684298577,0.0004884829702888464,-0.014175059684155222,0.0052465588593011425,0.03819268061459394,4.797313504437515e-05,22740,3.2792261026391243
MSFT,10,full,0.018356621245956162,0.024224442625610024,-0.17668897338321154,0.14036242824574607,0.2220405689841437,0.03631566322859199,22740,3.2792261026391243
MSFT,10,ofi_only,-0.0072625455578345655,0.000589228086769725,-0.006705236589774621,0.0065132182074379985,0.038630981324149195,0.0018229791316862556,22740,3.2792261026391243
MSFT,30,full,-0.046407158701454065,-0.02197989506137976,-0.20646073120856379,0.10040047261781093,0.12156298559706619,0.19194051331254497,22740,3.2792261026391243
MSFT,30,ofi_only,-0.029936796328257298,0.0002998540988821332,-0.00145873861677992,0.0025609629547985735,0.018253161479254737,0.009162868793475654,22740,3.2792261026391243
MSFT,60,full,-0.13194216896046873,-0.094045815589215,-0.5128466344202816,0.03349385305200714,-0.0004923361458852166,0.37126409210841926,22740,3.2792261026391243
MSFT,60,ofi_only,-0.06604821355663004,8.340370816142048e-05,-0.0023442292685007526,0.0012428559615080825,0.01438416265750504,0.17961141760614055,22740,3.2792261026391243
INTC,1,full,0.016389781871966824,0.014655298127956013,-0.03599822211401893,0.04794193504908428,0.15551665253463512,0.0,22740,3.7085110328209017
INTC,1,ofi_only,0.000659461676758899,0.002213876093206557,-0.002997236295962713,0.007953800029029123,0.04765990398600076,0.0,22740,3.7085110328209017
INTC,2,full,0.02648337307674853,0.025416292162058582,-0.040750048495182156,0.06760907693809282,0.19364756542713935,0.00023986567522187575,22740,3.7085110328209017
INTC,2,ofi_only,-0.00038197410832085943,0.0028157786362246195,-0.0030038570249606433,0.00974782140351016,0.057012193012390626,0.0,22740,3.7085110328209017
INTC,5,full,0.03864718823577906,0.043376832158881835,-0.002599921165162611,0.09545899170837469,0.22745722945777153,0.0015831134564643799,22740,3.7085110328209017
INTC,5,ofi_only,-0.005393795738126039,0.00178534773878872,-0.004832586285871576,0.007743491338089492,0.04960881985179458,0.00033581194531062604,22740,3.7085110328209017
INTC,10,full,0.03054557905212607,0.0460860010575328,-0.0483370410476025,0.18099959961871726,0.23068539356992118,0.012473015111537538,22740,3.7085110328209017
INTC,10,ofi_only,-0.012900886176986592,0.0006264546514816096,-0.0035338864599296915,0.006462304907748684,0.03263044322725271,0.0012473015111537538,22740,3.7085110328209017
INTC,30,full,-0.04161645662465774,-0.0004115775384419691,-0.16313527043049825,0.23848749596714847,0.16387240746372117,0.1428639961621492,22740,3.7085110328209017
INTC,30,ofi_only,-0.03821117100690041,0.0022967799868085603,-0.0012981701088903286,0.006138332105988797,0.03466846442932672,0.005660829935236268,22740,3.7085110328209017
INTC,60,full,-0.13841683816772443,-0.05823336063496303,-0.3081686000333881,0.2917830016199453,0.03937951172344903,0.35572079635404175,22740,3.7085110328209017
